model,max_depth,depth,base_best,base_best relative,base_time (best),base_time (all),base_tree nodes,base_tree depth,mod_best,mod_best relative,mod_time (best),mod_time (all),mod_tree nodes,mod_tree depth,better_best,better_best relative,better_time (best),better_time (all),better_tree nodes,better_tree depth
maze-7,1,1,1.9469,0.1839,4.26,13.63,1.0,1.0,1.9469,0.1839,7.42,14.66,1.0,1.0,tie,tie,base,base,tie,tie
maze-7,2,2,3.2506,0.513,16.91,613.5,3.0,2.0,3.2506,0.513,96.7,612.72,3.0,2.0,tie,tie,base,mod,tie,tie
maze-7,3,3,3.8926,0.6751,787.5,813.52,6.0,3.0,3.8791,0.6717,733.02,814.26,6.0,3.0,base,base,mod,base,tie,tie
maze-7,4,4,4.0824,0.723,380.1,914.76,7.0,4.0,3.7598,0.6416,548.99,915.14,12.0,4.0,base,base,base,base,base,tie
maze-7,5,5,4.1366,0.7367,527.69,979.14,7.0,5.0,4.0149,0.706,954.66,978.97,20.0,5.0,base,base,base,mod,base,tie
maze-7,6,6,4.139,0.7373,694.1,1030.5,10.0,6.0,3.8977,0.6764,804.09,1026.94,28.0,6.0,base,base,base,mod,base,tie
maze-7,7,5,4.127,0.7343,353.94,1086.94,9.0,5.0,3.583,0.597,316.12,1074.46,16.0,5.0,base,base,mod,mod,base,tie
maze-7,8,5,4.127,0.7343,303.65,1136.65,9.0,5.0,,,,,,,base,base,base,base,base,base
maze-7,8,N/A,,,,,,,,,305.74,,,,tie,tie,mod,tie,tie,tie
maze-steps,1,1,-63.2248,0.203,1.11,2.04,1.0,1.0,-63.2248,0.203,0.4,2.22,1.0,1.0,tie,tie,mod,base,tie,tie
maze-steps,2,2,-24.5559,0.872,2.48,51.58,3.0,2.0,-24.5559,0.872,20.08,54.81,3.0,2.0,tie,tie,base,base,tie,tie
maze-steps,3,3,-19.9697,0.9514,363.24,646.7,7.0,3.0,-20.621,0.9401,573.52,658.22,6.0,3.0,base,base,base,base,mod,tie
maze-steps,4,4,-19.6757,0.9565,363.34,794.83,10.0,4.0,-20.0868,0.9494,417.42,809.3,10.0,4.0,base,base,base,base,tie,tie
maze-steps,5,4,,,,,,,-20.1262,0.9487,521.74,904.42,10.0,4.0,mod,mod,mod,mod,mod,mod
maze-steps,5,5,-18.2898,0.9804,683.84,885.2,17.0,5.0,,,,,,,base,base,base,base,base,base
maze-steps,6,5,,,,,,,-20.15,0.9483,707.95,959.51,16.0,5.0,mod,mod,mod,mod,mod,mod
maze-steps,6,6,-18.4079,0.9784,906.74,951.13,17.0,6.0,,,,,,,base,base,base,base,base,base
maze-steps,7,7,-18.4035,0.9785,629.0,994.18,22.0,7.0,-20.1946,0.9475,676.96,1005.53,19.0,7.0,base,base,base,base,mod,tie
maze-steps,8,8,-18.234,0.9814,693.46,1020.95,37.0,8.0,-17.9663,0.986,979.83,1040.52,39.0,8.0,mod,mod,base,base,base,tie
omdt-3d_navigation,1,0,0.0,-0.0,0.21,0.77,0.0,0.0,0.0,-0.0,0.27,0.84,0.0,0.0,tie,tie,base,base,tie,tie
omdt-3d_navigation,2,2,0.0207,0.0587,17.92,138.33,3.0,2.0,0.0207,0.0587,29.62,120.65,3.0,2.0,tie,tie,base,mod,tie,tie
omdt-3d_navigation,3,3,0.3518,1.0,158.22,158.42,7.0,3.0,0.3518,1.0,136.75,136.99,7.0,3.0,tie,tie,mod,mod,tie,tie
omdt-3d_navigation,4,3,0.3518,1.0,145.9,146.07,7.0,3.0,0.3518,1.0,145.03,145.21,7.0,3.0,tie,tie,mod,mod,tie,tie
omdt-3d_navigation,5,3,0.3518,1.0,139.06,139.23,7.0,3.0,0.3518,1.0,129.45,129.63,7.0,3.0,tie,tie,mod,mod,tie,tie
omdt-3d_navigation,6,3,0.3518,1.0,118.18,118.35,7.0,3.0,0.3518,1.0,109.7,109.87,7.0,3.0,tie,tie,mod,mod,tie,tie
omdt-3d_navigation,7,3,0.3518,1.0,105.27,105.44,7.0,3.0,0.3518,1.0,95.62,95.81,7.0,3.0,tie,tie,mod,mod,tie,tie
omdt-3d_navigation,8,3,0.3518,1.0,92.37,92.53,7.0,3.0,0.3518,1.0,85.47,85.71,7.0,3.0,tie,tie,mod,mod,tie,tie
omdt-frozenlake_12x12,1,1,0.0207,0.0588,0.94,2.04,1.0,1.0,0.0207,0.0588,1.25,2.39,1.0,1.0,tie,tie,base,base,tie,tie
omdt-frozenlake_12x12,2,2,0.1177,0.3371,51.47,187.5,3.0,2.0,0.1177,0.3371,116.01,164.01,3.0,2.0,tie,tie,base,mod,tie,tie
omdt-frozenlake_12x12,3,3,0.1213,0.3474,205.67,802.08,6.0,3.0,0.1542,0.4419,688.66,795.01,5.0,3.0,mod,mod,base,mod,mod,tie
omdt-frozenlake_12x12,4,4,0.1748,0.501,522.99,901.98,12.0,4.0,0.2387,0.6843,545.89,902.54,8.0,4.0,mod,mod,base,base,mod,tie
omdt-frozenlake_12x12,5,5,0.22,0.6308,552.45,962.26,18.0,5.0,0.252,0.7226,766.38,962.73,16.0,5.0,mod,mod,base,base,mod,tie
omdt-frozenlake_12x12,6,6,0.3003,0.861,829.18,1002.54,24.0,6.0,0.1995,0.572,423.2,1003.34,20.0,6.0,base,base,mod,base,mod,tie
omdt-frozenlake_12x12,7,6,0.2264,0.649,682.51,1031.56,26.0,6.0,0.2207,0.6328,784.53,1032.29,23.0,6.0,base,base,base,base,mod,tie
omdt-frozenlake_12x12,8,5,,,,,,,0.2589,0.7424,790.5,1055.19,22.0,5.0,mod,mod,mod,mod,mod,mod
omdt-frozenlake_12x12,8,8,0.3033,0.8698,940.01,1053.9,30.0,8.0,,,,,,,base,base,base,base,base,base
omdt-inventory_management,1,1,955.2716,0.9935,7.32,13.44,1.0,1.0,955.2716,0.9935,9.95,15.21,1.0,1.0,tie,tie,base,base,tie,tie
omdt-inventory_management,2,2,966.0764,0.9991,37.07,88.85,3.0,2.0,966.0764,0.9991,97.75,116.65,3.0,2.0,tie,tie,base,base,tie,tie
omdt-inventory_management,3,3,967.6131,0.9999,94.1,691.53,6.0,3.0,,,,,,,base,base,base,base,base,base
omdt-inventory_management,3,N/A,,,,,,,,,117.8,,,,tie,tie,mod,tie,tie,tie
omdt-inventory_management,4,3,967.6131,0.9999,97.37,244.62,6.0,3.0,967.6131,0.9999,117.27,266.27,6.0,3.0,tie,tie,base,base,tie,tie
omdt-inventory_management,5,3,967.6131,0.9999,91.03,208.14,6.0,3.0,967.6131,0.9999,113.4,232.36,6.0,3.0,tie,tie,base,base,tie,tie
omdt-inventory_management,6,3,967.6131,0.9999,91.4,189.12,6.0,3.0,967.6131,0.9999,113.27,212.08,6.0,3.0,tie,tie,base,base,tie,tie
omdt-inventory_management,7,3,967.6131,0.9999,92.02,175.13,6.0,3.0,967.6131,0.9999,102.07,186.75,6.0,3.0,tie,tie,base,base,tie,tie
omdt-inventory_management,8,3,967.6131,0.9999,88.92,161.13,6.0,3.0,967.2324,0.9997,99.52,165.11,5.0,3.0,base,base,base,base,mod,tie
omdt-system_administrator_tree,1,1,377.9102,0.2025,2.7,6.91,1.0,1.0,377.9102,0.2025,3.16,6.86,1.0,1.0,tie,tie,base,mod,tie,tie
omdt-system_administrator_tree,2,2,438.9329,0.4732,490.11,606.3,3.0,2.0,438.9329,0.4732,272.8,606.5,3.0,2.0,tie,tie,mod,base,tie,tie
omdt-system_administrator_tree,3,3,427.4933,0.4224,710.47,806.28,4.0,3.0,453.0472,0.5358,295.22,806.57,4.0,3.0,mod,mod,mod,base,tie,tie
omdt-system_administrator_tree,4,4,478.504,0.6487,537.14,906.17,6.0,4.0,487.9633,0.6907,469.74,906.88,7.0,4.0,mod,mod,mod,base,base,tie
omdt-system_administrator_tree,5,5,515.6915,0.8137,666.97,966.48,8.0,5.0,513.3315,0.8032,758.7,966.82,9.0,5.0,base,base,base,base,base,tie
omdt-system_administrator_tree,6,6,518.0616,0.8242,751.48,1007.11,13.0,6.0,547.7081,0.9557,965.05,1007.27,10.0,6.0,mod,mod,base,base,mod,tie
omdt-system_administrator_tree,7,7,557.6322,0.9997,935.94,1036.3,18.0,7.0,557.693,1.0,584.06,585.03,14.0,7.0,mod,mod,mod,mod,mod,tie
omdt-system_administrator_tree,8,7,557.693,1.0,404.49,406.09,15.0,7.0,557.693,1.0,386.85,388.84,15.0,7.0,tie,tie,mod,mod,tie,tie
omdt-tictactoe_vs_random,1,1,-0.7553,0.0333,8.68,52.17,1.0,1.0,-0.7553,0.0333,11.94,53.17,1.0,1.0,tie,tie,base,base,tie,tie
omdt-tictactoe_vs_random,2,2,0.287,0.6162,187.66,648.86,3.0,2.0,0.2741,0.6089,132.26,648.15,3.0,2.0,base,base,mod,mod,tie,tie
omdt-tictactoe_vs_random,3,3,0.5514,0.764,817.17,845.95,5.0,3.0,0.4896,0.7295,788.76,851.65,6.0,3.0,base,base,mod,base,base,tie
omdt-tictactoe_vs_random,4,4,0.3757,0.6658,756.33,954.57,12.0,4.0,0.4898,0.7296,794.67,953.4,9.0,4.0,mod,mod,base,mod,mod,tie
omdt-tictactoe_vs_random,5,5,0.4799,0.7241,968.72,1025.0,10.0,5.0,,,,,,,base,base,base,base,base,base
omdt-tictactoe_vs_random,5,N/A,,,,,,,,,311.44,,,,tie,tie,mod,tie,tie,tie
omdt-tictactoe_vs_random,6,4,,,,,,,0.4492,0.7069,270.73,1097.36,11.0,4.0,mod,mod,mod,mod,mod,mod
omdt-tictactoe_vs_random,6,5,0.4287,0.6954,444.05,1085.22,12.0,5.0,,,,,,,base,base,base,base,base,base
omdt-tictactoe_vs_random,7,5,0.4287,0.6954,390.69,1171.49,12.0,5.0,,,,,,,base,base,base,base,base,base
omdt-tictactoe_vs_random,7,N/A,,,,,,,,,171.67,,,,tie,tie,mod,tie,tie,tie
omdt-tictactoe_vs_random,8,8,0.4651,0.7158,862.79,1202.59,61.0,8.0,,,,,,,base,base,base,base,base,base
omdt-tictactoe_vs_random,8,N/A,,,,,,,,,159.08,,,,tie,tie,mod,tie,tie,tie
omdt-traffic_intersection,1,1,-72.0642,0.5006,0.66,2.84,1.0,1.0,-72.0642,0.5006,1.46,3.59,1.0,1.0,tie,tie,base,base,tie,tie
omdt-traffic_intersection,2,2,-0.2174,0.9842,164.57,170.02,3.0,2.0,-0.2174,0.9842,93.53,103.47,3.0,2.0,tie,tie,mod,mod,tie,tie
omdt-traffic_intersection,3,3,0.7606,0.9908,167.65,764.27,6.0,3.0,0.7097,0.9905,614.24,702.34,6.0,3.0,base,base,base,mod,tie,tie
omdt-traffic_intersection,4,4,2.0631,0.9996,349.5,902.93,8.0,4.0,2.074,0.9997,741.33,848.74,9.0,4.0,mod,mod,base,mod,base,tie
omdt-traffic_intersection,5,4,,,,,,,2.0709,0.9996,799.49,943.17,8.0,4.0,mod,mod,mod,mod,mod,mod
omdt-traffic_intersection,5,5,2.0746,0.9997,443.81,963.24,9.0,5.0,,,,,,,base,base,base,base,base,base
omdt-traffic_intersection,6,5,2.0746,0.9997,381.93,1004.05,9.0,5.0,2.0648,0.9996,719.77,1002.95,11.0,5.0,base,base,base,mod,base,tie
omdt-traffic_intersection,7,5,2.0746,0.9997,331.65,1034.12,9.0,5.0,,,,,,,base,base,base,base,base,base
omdt-traffic_intersection,7,7,,,,,,,2.1202,1.0,742.12,1035.68,17.0,7.0,mod,mod,mod,mod,mod,mod
omdt-traffic_intersection,8,7,2.0754,0.9997,489.95,1060.17,11.0,7.0,,,,,,,base,base,base,base,base,base
omdt-traffic_intersection,8,8,,,,,,,2.1245,1.0,462.24,462.79,25.0,8.0,mod,mod,mod,mod,mod,mod
qcomp-firewire-3,1,1,-70.5254,0.9237,10.77,352.81,1.0,1.0,,,,,,,base,base,base,base,base,base
qcomp-firewire-3,1,N/A,,,,,,,,,35.13,,,,tie,tie,mod,tie,tie,tie
qcomp-firewire-3,2,2,-70.2842,0.962,468.69,897.85,3.0,2.0,,,,,,,base,base,base,base,base,base
qcomp-firewire-3,2,N/A,,,,,,,,,33.28,,,,tie,tie,mod,tie,tie,tie
qcomp-firewire-3,3,3,-70.0987,0.9915,549.79,1004.54,7.0,3.0,,,,,,,base,base,base,base,base,base
qcomp-firewire-3,3,N/A,,,,,,,,,33.69,,,,tie,tie,mod,tie,tie,tie
qcomp-firewire-3,4,3,-70.1035,0.9907,351.13,454.4,7.0,3.0,,,,,,,base,base,base,base,base,base
qcomp-firewire-3,4,N/A,,,,,,,,,224.83,,,,tie,tie,mod,tie,tie,tie
qcomp-firewire-3,5,5,-70.2715,0.964,516.08,1100.49,8.0,5.0,,,,,,,base,base,base,base,base,base
qcomp-firewire-3,5,N/A,,,,,,,,,197.82,,,,tie,tie,mod,tie,tie,tie
qcomp-firewire-3,6,N/A,,,560.6,,,,,,32.69,,,,tie,tie,mod,tie,tie,tie
qcomp-firewire-3,7,N/A,,,471.16,,,,,,235.75,,,,tie,tie,mod,tie,tie,tie
qcomp-firewire-3,8,5,,,,,,,-70.0449,1.0,327.95,328.41,21.0,5.0,mod,mod,mod,mod,mod,mod
qcomp-firewire-3,8,N/A,,,418.16,,,,,,,,,,tie,tie,base,tie,tie,tie
qcomp-philosophers-4,1,1,0.8987,0.2285,120.38,613.98,1.0,1.0,,,,,,,base,base,base,base,base,base
qcomp-philosophers-4,1,N/A,,,,,,,,,53.29,,,,tie,tie,mod,tie,tie,tie
qcomp-philosophers-4,2,1,0.8987,0.2285,113.05,914.38,1.0,1.0,,,,,,,base,base,base,base,base,base
qcomp-philosophers-4,2,N/A,,,,,,,,,50.75,,,,tie,tie,mod,tie,tie,tie
qcomp-philosophers-4,3,1,0.8987,0.2285,115.22,1018.25,1.0,1.0,,,,,,,base,base,base,base,base,base
qcomp-philosophers-4,3,N/A,,,,,,,,,51.29,,,,tie,tie,mod,tie,tie,tie
qcomp-philosophers-4,4,4,0.9606,1.0,473.77,474.75,8.0,4.0,,,,,,,base,base,base,base,base,base
qcomp-philosophers-4,4,N/A,,,,,,,,,50.32,,,,tie,tie,mod,tie,tie,tie
qcomp-philosophers-4,5,N/A,,,114.43,,,,,,50.17,,,,tie,tie,mod,tie,tie,tie
qcomp-philosophers-4,6,3,0.9606,1.0,218.44,219.38,6.0,3.0,,,,,,,base,base,base,base,base,base
qcomp-philosophers-4,6,N/A,,,,,,,,,51.14,,,,tie,tie,mod,tie,tie,tie
qcomp-philosophers-4,7,5,0.9606,1.0,377.66,378.6,9.0,5.0,,,,,,,base,base,base,base,base,base
qcomp-philosophers-4,7,N/A,,,,,,,,,50.43,,,,tie,tie,mod,tie,tie,tie
qcomp-philosophers-4,8,5,0.9606,1.0,334.55,335.55,9.0,5.0,,,,,,,base,base,base,base,base,base
qcomp-philosophers-4,8,N/A,,,,,,,,,51.43,,,,tie,tie,mod,tie,tie,tie
qcomp-pnueli-zuck-3,1,1,0.8442,0.6266,285.32,511.4,1.0,1.0,,,,,,,base,base,base,base,base,base
qcomp-pnueli-zuck-3,1,N/A,,,,,,,,,23.72,,,,tie,tie,mod,tie,tie,tie
qcomp-pnueli-zuck-3,2,2,0.9606,1.0,878.59,909.63,3.0,2.0,,,,,,,base,base,base,base,base,base
qcomp-pnueli-zuck-3,2,N/A,,,,,,,,,22.37,,,,tie,tie,mod,tie,tie,tie
qcomp-pnueli-zuck-3,3,1,0.8073,0.508,82.85,1010.85,1.0,1.0,,,,,,,base,base,base,base,base,base
qcomp-pnueli-zuck-3,3,N/A,,,,,,,,,22.99,,,,tie,tie,mod,tie,tie,tie
qcomp-pnueli-zuck-3,4,4,0.9606,1.0,465.43,466.09,5.0,4.0,,,,,,,base,base,base,base,base,base
qcomp-pnueli-zuck-3,4,N/A,,,,,,,,,22.47,,,,tie,tie,mod,tie,tie,tie
qcomp-pnueli-zuck-3,5,4,0.9606,1.0,376.05,376.72,5.0,4.0,,,,,,,base,base,base,base,base,base
qcomp-pnueli-zuck-3,5,N/A,,,,,,,,,145.39,,,,tie,tie,mod,tie,tie,tie
qcomp-pnueli-zuck-3,6,4,0.9606,1.0,317.05,317.75,5.0,4.0,,,,,,,base,base,base,base,base,base
qcomp-pnueli-zuck-3,6,N/A,,,,,,,,,125.18,,,,tie,tie,mod,tie,tie,tie
qcomp-pnueli-zuck-3,7,4,0.9606,1.0,271.39,271.96,5.0,4.0,,,,,,,base,base,base,base,base,base
qcomp-pnueli-zuck-3,7,N/A,,,,,,,,,110.99,,,,tie,tie,mod,tie,tie,tie
qcomp-pnueli-zuck-3,8,4,0.9606,1.0,238.83,239.4,5.0,4.0,,,,,,,base,base,base,base,base,base
qcomp-pnueli-zuck-3,8,N/A,,,,,,,,,100.86,,,,tie,tie,mod,tie,tie,tie
qcomp-resource-gathering-5,1,1,-95.1392,0.0908,1.0,5.22,1.0,1.0,-95.1392,0.0908,0.92,6.73,1.0,1.0,tie,tie,mod,base,tie,tie
qcomp-resource-gathering-5,2,2,-53.9064,0.8812,14.56,86.97,3.0,2.0,,,,,,,base,base,base,base,base,base
qcomp-resource-gathering-5,2,N/A,,,,,,,,,31.84,,,,tie,tie,mod,tie,tie,tie
qcomp-resource-gathering-5,3,3,-47.7105,1.0,87.3,88.6,7.0,3.0,,,,,,,base,base,base,base,base,base
qcomp-resource-gathering-5,3,N/A,,,,,,,,,34.28,,,,tie,tie,mod,tie,tie,tie
qcomp-resource-gathering-5,4,3,-47.7105,1.0,87.69,89.02,7.0,3.0,,,,,,,base,base,base,base,base,base
qcomp-resource-gathering-5,4,N/A,,,,,,,,,31.2,,,,tie,tie,mod,tie,tie,tie
qcomp-resource-gathering-5,5,3,-47.7105,1.0,90.24,91.55,7.0,3.0,,,,,,,base,base,base,base,base,base
qcomp-resource-gathering-5,5,N/A,,,,,,,,,31.48,,,,tie,tie,mod,tie,tie,tie
qcomp-resource-gathering-5,6,3,-47.7105,1.0,88.88,90.12,7.0,3.0,,,,,,,base,base,base,base,base,base
qcomp-resource-gathering-5,6,N/A,,,,,,,,,32.19,,,,tie,tie,mod,tie,tie,tie
qcomp-resource-gathering-5,7,3,-47.7105,1.0,81.15,82.39,7.0,3.0,-47.7105,1.0,92.5,93.29,6.0,3.0,tie,tie,base,base,mod,tie
qcomp-resource-gathering-5,8,3,-47.7105,1.0,80.81,82.01,7.0,3.0,-47.7105,1.0,82.37,83.16,6.0,3.0,tie,tie,base,base,mod,tie
qcomp-wlan-1-2,1,1,0.0453,0.2228,146.37,459.25,1.0,1.0,0.0453,0.2228,187.8,393.4,1.0,1.0,tie,tie,base,mod,tie,tie
qcomp-wlan-1-2,2,2,0.0604,0.4088,317.52,906.53,3.0,2.0,,,,,,,base,base,base,base,base,base
qcomp-wlan-1-2,2,N/A,,,,,,,,,338.11,,,,tie,tie,mod,tie,tie,tie
qcomp-wlan-1-2,3,3,0.0745,0.5835,480.72,1009.1,5.0,3.0,,,,,,,base,base,base,base,base,base
qcomp-wlan-1-2,3,N/A,,,,,,,,,542.39,,,,tie,tie,mod,tie,tie,tie
qcomp-wlan-1-2,4,4,0.0751,0.5898,767.38,1068.03,10.0,4.0,,,,,,,base,base,base,base,base,base
qcomp-wlan-1-2,4,N/A,,,,,,,,,631.51,,,,tie,tie,mod,tie,tie,tie
qcomp-wlan-1-2,5,4,0.0702,0.5299,412.86,1108.31,8.0,4.0,,,,,,,base,base,base,base,base,base
qcomp-wlan-1-2,5,N/A,,,,,,,,,598.96,,,,tie,tie,mod,tie,tie,tie
qcomp-wlan-1-2,6,N/A,,,352.84,,,,,,235.71,,,,tie,tie,mod,tie,tie,tie
qcomp-wlan-1-2,7,N/A,,,301.07,,,,,,411.21,,,,tie,tie,base,tie,tie,tie
qcomp-wlan-1-2,8,N/A,,,267.97,,,,,,369.9,,,,tie,tie,base,tie,tie,tie
